X,Y,OBJECTID,FULLNAME,NAME,ENTRANCENAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,VEHICLEENTRANCE,GREENWAYENTRANCE,PEDESTRIANENTRANCE,PARKINGSTREET,PARKINGLOT
2022542.277509719133377,746032.646249979734421,11,American Tobacco Trail - Montvale Ridge Dr Greenway Entrance,American Tobacco Trail,Montvale Ridge Dr Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2023022.51703479886055,744099.551362887024879,12,American Tobacco Trail - Morrisville Pkwy Greenway Entrance,American Tobacco Trail,Morrisville Pkwy Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2015764.623414143919945,714932.970260471105576,13,American Tobacco Trail - New Hill Entrance,American Tobacco Trail - New Hill Entrance,New Hill Entrance,,,Wake County,"1309 New Hill-Olive Chapel Road, Apex, NC 27502","1309 New Hill-Olive Chapel Road, Apex, NC 27502",http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.714336,-78.946984,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
2020357.999726057052612,720218.812379062175751,14,American Tobacco Trail - Olive Chapel Rd Greenway Entrance,American Tobacco Trail,Olive Chapel Rd Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2023682.202067136764526,742877.057416811585426,15,American Tobacco Trail - Piershill Ln Greenway Entrance,American Tobacco Trail,Piershill Ln Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2022008.663747549057007,746401.485735386610031,16,American Tobacco Trail - Weldon Ridge Greenway Entrance,American Tobacco Trail,Weldon Ridge Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2023203.909388557076454,733036.146652474999428,17,American Tobacco Trail - White Oak Creek Greenway Entrance,American Tobacco Trail,White Oak Creek Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2022818.438702806830406,741099.206313729286194,18,American Tobacco Trail - White Oak Entrance,American Tobacco Trail - White Oak Entrance,White Oak Entrance,,,Wake County,"1305 White Oak Church Road, Apex, NC 27523",,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
2023461.515500634908676,731845.323902890086174,19,American Tobacco Trail - Wimberly Rd Entrance,American Tobacco Trail - Wimberly Rd Entrance,Wimberly Rd Entrance,,,Wake County,"1017 Wimberly Road, Apex, NC 27502","1017 Wimberly Road, Apex, NC 27502",http://www.wakegov.com/parks/att/Pages/directions.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,35.760054,-78.920102,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
2135609.591072797775269,736518.144609734416008,20,Anderson Point Park - Anderson Point Dr Entrance,Anderson Point Park,Anderson Point Dr Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AndersonPointMainPage.html,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.770887,-78.542011,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,No,Yes
2134417.481908470392227,736542.052042230963707,21,Anderson Point Park - Greenway Entrance,Anderson Point Park,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AndersonPointMainPage.html,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.770887,-78.542011,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No
2136129.999808892607689,734217.312269151210785,22,Anderson Point Park - Greenway Entrance,Anderson Point Park,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AndersonPointMainPage.html,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.770887,-78.542011,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No
2136421.747584968805313,736451.527945056557655,23,Anderson Point Park - Pedestrian Entrance,Anderson Point Park,Pedestrian Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AndersonPointMainPage.html,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.770887,-78.542011,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2135484.107727974653244,737270.955111980438232,24,Anderson Point River Access - Anderson Point Dr Entrance,Anderson Point River Access,Anderson Point Dr Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Programs/Outdoor/RiverAccess.html,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,Yes,Yes,Yes,No,Yes
2135517.59060063958168,737174.108520895242691,25,Anderson Point River Access - Greenway Entrance,Anderson Point River Access,Greenway Entrance,Neuse River Trail Access,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Programs/Outdoor/RiverAccess.html,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,Yes,Yes,No,No
2135599.007760643959045,736798.79496705532074,26,Anderson Point River Access - Greenway Entrance,Anderson Point River Access,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Programs/Outdoor/RiverAccess.html,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,Yes,Yes,No,No
2136319.69103054702282,736747.264886394143105,27,Anderson Point River Access - Pedestrian Entrance,Anderson Point River Access,Pedestrian Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Programs/Outdoor/RiverAccess.html,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,No,Yes,No,No
2055076.137310639023781,732091.448082566261292,28,Annie L. Jones Park - Greenway Entrance,Annie L. Jones Park,Greenway Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,Yes,Yes,No,No
2055288.379340216517448,731729.376956313848495,29,Annie L. Jones Park - Greenway Entrance,Annie L. Jones Park,Greenway Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,Yes,Yes,No,No
2055941.999752134084702,731773.687235146760941,30,Annie L. Jones Park - Pedestrian Entrance,Annie L. Jones Park,Pedestrian Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,No,Yes,No,No
2055351.580329298973083,731748.968124479055405,31,Annie L. Jones Park - Tarbert Dr Entrance,Annie L. Jones Park,Tarbert Dr Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,Yes,Yes,Yes,No,Yes
2118158.083653047680855,793275.457604065537453,32,"Annie Louise Wilkerson, MD Nature Preserve Park - Pedestrian Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Pedestrian Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AnnieLWilkersonNaturePreservePark.html,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.922096,-78.598837,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2119719.918127804994583,790569.47909215092659,33,"Annie Louise Wilkerson, MD Nature Preserve Park - Pedestrian Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Pedestrian Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AnnieLWilkersonNaturePreservePark.html,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.922096,-78.598837,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2118625.437049046158791,789647.937628149986267,34,"Annie Louise Wilkerson, MD Nature Preserve Park - Raven Ridge Rd Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Raven Ridge Rd Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AnnieLWilkersonNaturePreservePark.html,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.922096,-78.598837,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2045619.600121393799782,722443.599924221634865,35,Apex Community Center - Hunter St Entrance,Apex Community Center,Hunter St Entrance,,,Town of Apex,53 Hunter Street,,http://www.apexnc.org/513/Program-Guides,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2045876.542192801833153,721830.350494563579559,36,Apex Community Center - N Mason St Entrance,Apex Community Center,N Mason St Entrance,,,Town of Apex,53 Hunter Street,,http://www.apexnc.org/513/Program-Guides,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2044997.569541305303574,722093.111123889684677,37,Apex Community Center - Pedestrian Entrance,Apex Community Center,Pedestrian Entrance,,,Town of Apex,53 Hunter Street,,http://www.apexnc.org/513/Program-Guides,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,No,No,Yes,No,No
2045389.931617468595505,721922.30962823331356,38,Apex Community Center - Pedestrian Entrance,Apex Community Center,Pedestrian Entrance,,,Town of Apex,53 Hunter Street,,http://www.apexnc.org/513/Program-Guides,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,No,No,Yes,No,No
2050858.87507589161396,730302.621279641985893,39,Apex Community Park - Greenway Entrance,Apex Community Park,Greenway Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No
2050849.02470189332962,729618.349682316184044,40,Apex Community Park - Laura Duncan Rd Entrance,Apex Community Park,Laura Duncan Rd Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2054899.852558225393295,727485.319171473383904,41,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2050840.707133218646049,729075.547946393489838,42,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2052133.77475705742836,727605.865846395492554,43,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2051519.920341715216637,728328.128837555646896,44,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2053423.480182886123657,726764.458736553788185,45,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2054610.730104967951775,726764.424615889787674,46,Apex Community Park (Lake Pine)- Lake Pine Dr Entrance,Apex Community Park (Lake Pine),Lake Pine Dr Entrance,Lake Pine,,Town of Apex,2101 Lake Pine Drive,2000 Laura Duncan Road,https://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.746843,-78.815963,,No,,,,,,,,,,,,,,,,Yes,,,,Yes,No,Yes,No,Yes
2039633.699035465717316,720420.525558307766914,47,Apex Jaycee Park - Pedestrian Entrance,Apex Jaycee Park,Pedestrian Entrance,,,Town of Apex,451 W Williams St,"451 NC HWY 55, Apex, NC",https://www.apexnc.org/797/Apex-Jaycee-Park,919-249-3402,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,35.731629,-78.860571,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2041362.079765051603317,721202.907195642590523,48,Apex Jaycee Park - W Williams St Entrance,Apex Jaycee Park,W Williams St Entrance,,,Town of Apex,451 W Williams St,"451 NC HWY 55, Apex, NC",https://www.apexnc.org/797/Apex-Jaycee-Park,919-249-3402,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,35.731629,-78.860571,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2028139.842101976275444,715931.257962062954903,49,Apex Nature Park - Evans Rd Entrance,Apex Nature Park,Evans Rd Entrance,Seymour Athletic Fields,,Town of Apex,"2600 Evans Rd., Apex, NC","2500 Evans Rd., Apex, NC",https://www.apexnc.org/800/Nature-Park-Seymour-Athletic-Fields,919-249-3402,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.717099,-78.905361,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
