X,Y,OBJECTID,NAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,FORLOCATOR
2118625.437049046158791,789647.937628149986267,34,"Annie Louise Wilkerson, MD Nature Preserve Park",,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AnnieLWilkersonNaturePreservePark.html,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.922096,-78.598837,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2045619.600121393799782,722443.599924221634865,35,Apex Community Center,,,Town of Apex,53 Hunter Street,,http://www.apexnc.org/513/Program-Guides,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,Yes
2050849.02470189332962,729618.349682316184044,40,Apex Community Park,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.754610,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes
2054610.730104967951775,726764.424615889787674,46,Apex Community Park (Lake Pine),Lake Pine,,Town of Apex,2101 Lake Pine Drive,2000 Laura Duncan Road,https://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.746843,-78.815963,,No,,,,,,,,,,,,,,,,Yes,,,,Yes
2041362.079765051603317,721202.907195642590523,48,Apex Jaycee Park,,,Town of Apex,451 W Williams St,"451 NC HWY 55, Apex, NC",https://www.apexnc.org/797/Apex-Jaycee-Park,919-249-3402,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,35.731629,-78.860571,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2028139.842101976275444,715931.257962062954903,49,Apex Nature Park,Seymour Athletic Fields,,Town of Apex,"2600 Evans Rd., Apex, NC","2500 Evans Rd., Apex, NC",https://www.apexnc.org/800/Nature-Park-Seymour-Athletic-Fields,919-249-3402,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.717099,-78.905361,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2028834.634019464254379,716872.789543554186821,51,Apex Nature Park (Seymour Athletic Fields),Seymour Athletic Fields,,Town of Apex,2500 Evans Road,2600 Evan Road,https://www.apexnc.org/800/Nature-Park-Seymour-Athletic-Fields,,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.719409,-78.903012,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes
2116034.249974220991135,733650.875081807374954,53,Apollo Heights Park,Ralph Campbell,,City of Raleigh,"756 Lunar Dr, Raleigh, NC","756 Lunar Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AnnieLWilkersonNaturePreservePark.html,919-250-2757,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,35.764905,-78.609241,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2098255.70810355246067,786368.218137726187706,54,Baileywick Road Park,,,City of Raleigh,"9501 Baileywick Rd, Raleigh, NC","9501 Baileywick Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BaileywickPark.html,919-870-2911,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.907949,-78.668549,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2067127.674559220671654,678017.233724638819695,57,Ballentine School Park,,,Town of Fuquay-Varina,"1651 North McLaurin Lane, Fuquay-Varina, NC","1651 North McLaurin Lane, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/ballentine-school-park.html,919-552-1430,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,35.613611,-78.772477,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2086156.663404047489166,685447.442289397120476,61,Banks Road Fields,,,Town of Fuquay-Varina,"10225 Chambers Road, Fuquay-Varina, NC","10225 Chambers Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/banks-road.html,919-552-1430,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,35.633254,-78.709959,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2131910.264153882861137,721338.745506644248962,62,Barwell Road Park,,,City of Raleigh,"3935 Barwell Rd, Raleigh, NC","3935 Barwell Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BarwellRoadCommunityCenter.html,919-329-5994,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,35.730479,-78.551483,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2058235.697264477610588,689106.187268480658531,65,Bass Lake Park,,,Town of Holly Springs,"900 Bass Lake Rd., Holly Springs, NC","900 Bass Lake Rd., Holly Springs, NC",http://www.hollyspringsnc.us/index.aspx?NID=320,(919) 557-9600,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,35.641441,-78.801340,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2131542.74979704618454,776547.313238888978958,68,Berkshire Downs West Park,,,City of Raleigh,"8105 McGuire Dr, Raleigh, NC","8105 McGuire Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecParks/Articles/PlaygroundBerkshireDownsWest.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,35.882057,-78.556433,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2110496.823385059833527,726016.161020562052727,69,Biltmore Hills Park,,,City of Raleigh,"2615 Fitzgerald Dr, Raleigh, NC","2615 Fitzgerald Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BiltmoreHills.html,919-831-6895,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,35.745947,-78.627026,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2062118.330903381109238,746828.813620895147324,71,Black Creek Greenway Trailhead,,,Town of Cary,"2055 NW Maynard Road, Cary, NC","2055 NW Maynard Road, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways/black-creek-greenway,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,35.801406,-78.791817,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2105185.336632713675499,807300.101470723748207,74,Blue Jay Point County Park,,,Wake County,"3200 Pleasant Union Church Road, Raleigh, NC 27614","3200 Pleasant Union Church Road, Raleigh, NC 27614",http://www.wakegov.com/parks/bluejay/Pages/default.aspx,919-870-4330,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.968917,-78.642750,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
2108002.656457379460335,733882.873305484652519,75,Bragg Street Park,,,City of Raleigh,"1116 South Person St, Raleigh, NC","1116 South Person St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BraggStreetPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,35.765959,-78.635931,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2118386.249863386154175,756713.687551900744438,76,Brentwood Park,,,City of Raleigh,"3315 Vinson Ct, Raleigh, NC","3315 Vinson Ct, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BrentwoodCenter.html,919-872-41040,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,35.828500,-78.599548,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2057473.640061557292938,782539.226123809814453,80,Brier Creek Park,,,City of Raleigh,"10810 Globe Rd, Raleigh, NC","10810 Globe Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BrierCreekCommunityCenter.html,919-420-2340,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.900527,-78.806363,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2092840.672345727682114,765228.021573066711426,82,Brookhaven Nature Park,,,City of Raleigh,"5125 Berkeley St, Raleigh, NC","5125 Berkeley St, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6856,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,35.853880,-78.686230,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2135794.699954554438591,761282.197443723678589,85,Buffaloe Road Athletic Park,Buffaloe Road Aquatic Center,,City of Raleigh,"5900 Buffaloe Rd, Raleigh, NC","5900 Buffaloe Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BuffaloeRoadAthleticPark.html,919-831-6836,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,35.838362,-78.537282,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2138882.49988129734993,763731.187952563166618,90,Buffaloe Road Canoe Launch,,,City of Raleigh,"4901 Elizabeth Dr, Raleigh, NC","4901 Elizabeth Dr, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6610,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,35.847667,-78.530864,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2042717.012750715017319,720948.413282066583633,96,C C Jones Park,,,Privately Owned,"309 Holleman St, Apex, NC",,http://ccjones.org/index.html,919-362-5634,,,,,,,,,,,,,,Yes,,Yes,,,,,Yes,,,,No,,,,,,,,,,,,,,,,No,,,,Yes
2124862.158827558159828,778867.484123483300209,99,Campbell Lodge,,,City of Raleigh,"3237 Spottswood St, Raleigh, NC","3237 Spottswood St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/DurantNatureParkRentalFacilities.html,919-870-2871,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,35.891005,-78.577286,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes
2124642.585775882005692,797014.773944303393364,102,Canoe Launch at Falls Lake,,,City of Raleigh,"12028 Falls of Neuse Rd, Raleigh, NC","12028 Falls of Neuse Rd, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6610,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,35.939745,-78.577227,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2104993.800926551222801,732056.543624803423882,103,Caraleigh Park,,,City of Raleigh,"110 Maywood Ave, Raleigh, NC","110 Maywood Ave, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/CaraleighPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,35.761010,-78.646213,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2097556.528071463108063,727846.34764888882637,104,Carolina Pines Park,,,City of Raleigh,"2305 Lake Wheeler Rd, Raleigh, NC","2305 Lake Wheeler Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/CarolinaPines.html,919-831-6435,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,35.748497,-78.667705,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes
2040246.572481632232666,754438.815789312124252,107,Carpenter Park,Carpenter Park Community Garden,Memorial to Victims of Flight 3379 & 3378,Town of Cary,"4420 Louis Stephens Drive, Cary, NC","4420 Louis Stephens Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/carpenter-park,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2057228.885301724076271,661120.520798981189728,110,Carroll Howard Johnson Environmental Education Park,,,Town of Fuquay-Varina,"301 Wagstaff Road, Fuquay-Varina, NC","301 Wagstaff Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/carroll-howard-johnson-environmental-education-park.html,919-552-1430,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.565054,-78.806943,Amphitheater,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2181456.550231724977493,743708.562315478920937,112,Carver Elementary School Park,,,Town of Wendell,"291 Liles-Dean Rd, Wendell, NC","291 Liles-Dean Rd, Wendell, NC",https://www.townofwendell.com/departments/parks-and-recreation/facilites/carver-fields,(919) 365-2680,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2114013.868188217282295,739904.890460893511772,114,Carver Park,Pender Street Mini Park,John Stokes Garden,City of Raleigh,"1600 Pender St, Raleigh, NC","1600 Pender St, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.782242,-78.615633,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2064691.648263305425644,739942.232577815651894,115,Cary Arts Center,,,Town of Cary,"316 N Academy Street, Cary, NC","316 N Academy Street, Cary, NC",http://www.townofcary.org/Departments/Parks__Recreation___Cultural_Resources/Fac,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.789595,-78.780620,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2069985.352242797613144,735542.068477898836136,121,Cary High School Softball Field,,,Town of Cary,"638 Walnut Street, Cary, NC","638 Walnut Street, Cary, NC",http://games.townofcarync.gov/ballfields/displaystatus.php,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.771508,-78.766249,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2040976.552648976445198,747435.564703971147537,124,Cary Tennis Park,,,Town of Cary,"2727 Louis Stephens Drive, Cary, NC","2727 Louis Stephens Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park,919-462-2061,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,35.804949,-78.862641,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2052848.061714306473732,755140.091289639472961,126,Cedar Fork District Park,,,Town of Morrisville,228 Aviation Parkway,"Morrisville, NC 27560",http://www.townofmorrisville.org/government/departments-services/parks-recreation-cultural-resources/parks-and-greenways/cedar-fork-district-park,919-463-7110,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2109509.999899387359619,768419.999441057443619,129,Cedar Hills Park,,,City of Raleigh,"5600 Sweetbriar Dr, Raleigh, NC","5600 Sweetbriar Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/CedarHillsPark.html,919-870-2880,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,35.859295,-78.630624,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2117805.589935466647148,698498.886658892035484,132,Centennial Park,,,Town of Garner,"1015 New Bethel Church Road, Garner NC, 27529","1015 New Bethel Church Road, Garner NC, 27529",http://www.garnernc.gov/Departments/Parks%20and%20Recreation/Parks.aspx?ID=1,919-773-4442,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.669359,-78.604600,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2099295.637782216072083,743456.530339226126671,133,Chamberlain Park,,,City of Raleigh,"500 Chamberlain St, Raleigh, NC","500 Chamberlain St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/ChamberlainPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,35.792082,-78.664640,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2046657.189253553748131,763017.297976151108742,135,Church Street Park,,,Town of Morrisville,5800 Cricket Pitch Way,"Morrisville, NC 27560",http://www.townofmorrisville.org/government/departments-services/parks-recreation-cultural-resources/parks-and-greenways/church-street-park,919-463-7110,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2046854.387021884322166,719663.696691393852234,139,Clairmont Park,,,Town of Apex,"801 E. Chatham St., Apex, NC","801 E. Chatham St., Apex, NC",https://www.apexnc.org/796/Neighborhood-Parks,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,35.727473,-78.841750,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2151748.753020137548447,700677.279283732175827,140,Clemmons Educational State Forest,,,State of North Carolina,"2256 Old U.S. Hwy 70, Clayton, NC",,https://www.ncesf.org/clemmons.html,919-553-5651,,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,,No,,,,,,,,,,,,,,,,No,,,,Yes
2114622.895841553807259,718953.940564975142479,142,Cloverdale Park,,,Town of Garner,"1603 Meadowbrook Dr, Garner, NC 27529",,https://www.garnernc.gov/departments/economic-development/living-here/recreation-and-cultural-resources,919-773-4431,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,No,,,,Yes
2098882.000158056616783,741925.687272310256958,143,Compiegne Park,,,City of Raleigh,"106 Chamberlain St, Raleigh, NC","106 Chamberlain St, Raleigh, NC",http://www.raleighnc.gov/arts_parks/,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.788150,-78.666169,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2053282.698312222957611,753612.29349222779274,146,Crabtree Creek Nature Park,,,Town of Morrisville,151 Keybridge Drive,"Morrisville, NC 27560",http://www.townofmorrisville.org/government/departments-services/parks-recreation-cultural-resources/parks-and-greenways/crabtree-creek-nature-park,919-463-7110,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2118065.615662142634392,715114.463663890957832,148,Creech Road Elementary School Park,,,Town of Garner,"400 Creech Road, Garner NC, 27529","400 Creech Road, Garner NC, 27529",http://www.garnernc.gov/Departments/Parks%20and%20Recreation/Parks.aspx?ID=2,919-773-4442,No,Yes,No,No,No,No,No,No,Unknown,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.713956,-78.602436,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2069524.835447296500206,706771.872737556695938,151,Crowder County Park,,,Wake County,4709 Ten Ten Road,"Apex, NC 27539",http://www.wakegov.com/parks/crowder/Pages/default.aspx,919-662-2850,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
2118148.24968321621418,732613.749859482049942,152,Dacian Road Park,,,City of Raleigh,"566 Dacian Rd, Raleigh, NC","566 Dacian Rd, Raleigh, NC",https://www.raleighnc.gov/parks/content/ParksRec/Articles/Parks/DacianRoad.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,35.762097,-78.601607,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
